Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.768,34.322,27.629,10380,-657.029
ChopterLearningBrain,0.745,64.286,25.342,10400,-633.212
ChopterLearningBrain,0.783,93.718,24.854,10400,-577.937
ChopterLearningBrain,0.766,123.371,24.963,10400,-521.384
ChopterLearningBrain,0.732,151.768,23.972,10400,-459.706
ChopterLearningBrain,0.720,181.030,24.635,10400,-410.086
ChopterLearningBrain,0.738,208.918,23.387,10400,-361.037
ChopterLearningBrain,0.636,235.114,21.937,10400,-316.882
ChopterLearningBrain,0.749,261.670,22.249,10400,-263.944
ChopterLearningBrain,0.748,290.721,24.461,10400,-210.760
ChopterLearningBrain,0.741,317.359,22.370,10400,-156.056
ChopterLearningBrain,0.738,345.236,23.484,10400,-100.090
ChopterLearningBrain,0.749,372.899,23.120,10400,-46.316
ChopterLearningBrain,0.716,401.546,24.091,10400,3.633
ChopterLearningBrain,0.671,429.892,23.858,10400,50.449
ChopterLearningBrain,0.698,457.489,23.225,10400,91.249
ChopterLearningBrain,0.735,485.838,23.673,10400,130.530
ChopterLearningBrain,0.755,513.320,23.165,10400,166.881
ChopterLearningBrain,0.731,540.999,23.122,10400,200.182
ChopterLearningBrain,0.701,568.871,22.913,10400,230.946
ChopterLearningBrain,0.682,596.797,23.531,10400,258.872
ChopterLearningBrain,0.750,623.229,22.099,10400,284.666
ChopterLearningBrain,0.717,649.986,22.412,10400,308.609
ChopterLearningBrain,0.739,678.071,23.538,10400,330.610
ChopterLearningBrain,0.731,706.021,23.386,10400,350.801
ChopterLearningBrain,0.755,733.512,23.076,10400,369.917
ChopterLearningBrain,0.722,760.972,23.108,10400,387.576
ChopterLearningBrain,0.780,789.686,23.968,10400,404.357
ChopterLearningBrain,0.763,817.991,23.770,10400,419.990
ChopterLearningBrain,0.799,844.841,22.499,10400,434.718
ChopterLearningBrain,0.793,872.734,23.439,10400,448.605
ChopterLearningBrain,0.694,900.644,23.462,10400,461.814
ChopterLearningBrain,0.721,928.453,23.294,10400,474.225
ChopterLearningBrain,0.710,956.874,23.919,10400,485.942
ChopterLearningBrain,0.751,984.102,22.884,10400,497.063
ChopterLearningBrain,0.723,1012.216,23.599,10400,507.467
ChopterLearningBrain,0.741,1039.782,23.281,10400,517.411
ChopterLearningBrain,0.687,1066.247,22.330,10400,526.836
ChopterLearningBrain,0.731,1093.872,22.923,10400,535.882
ChopterLearningBrain,0.719,1121.525,23.166,10400,544.361
ChopterLearningBrain,0.693,1147.956,22.400,10400,552.560
ChopterLearningBrain,0.736,1174.515,22.444,10400,560.446
ChopterLearningBrain,0.778,1203.510,24.417,10400,567.914
