Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.689,1231.036,23.246,10400,575.012
ChopterLearningBrain,0.715,1258.963,23.364,10400,581.685
ChopterLearningBrain,0.752,1287.362,23.805,10400,588.247
ChopterLearningBrain,0.680,1315.194,23.460,10400,594.489
ChopterLearningBrain,0.740,1341.634,22.217,10400,600.616
ChopterLearningBrain,0.712,1369.440,23.446,10400,606.460
ChopterLearningBrain,0.710,1396.591,22.925,10400,612.065
ChopterLearningBrain,0.735,1423.982,23.000,10400,617.522
ChopterLearningBrain,0.692,1450.918,22.750,10400,622.819
ChopterLearningBrain,0.698,1478.125,22.948,10400,627.789
ChopterLearningBrain,0.686,1507.000,24.315,10400,632.416
ChopterLearningBrain,0.726,1535.498,23.800,10400,637.182
ChopterLearningBrain,0.726,1562.994,23.089,10400,641.779
ChopterLearningBrain,0.747,1591.009,23.545,10400,646.254
ChopterLearningBrain,0.707,1619.458,23.441,10400,650.594
ChopterLearningBrain,0.707,1646.301,22.723,10400,654.763
ChopterLearningBrain,0.764,1672.677,22.233,10400,658.775
ChopterLearningBrain,0.771,1701.370,24.141,10400,662.681
ChopterLearningBrain,0.706,1729.573,23.779,10400,666.470
ChopterLearningBrain,0.733,1757.491,23.464,10400,670.132
ChopterLearningBrain,0.727,1785.807,23.926,10400,673.684
ChopterLearningBrain,0.730,1813.847,23.440,10400,677.106
ChopterLearningBrain,0.714,1841.025,22.922,10400,680.371
ChopterLearningBrain,0.735,1869.231,23.691,10400,683.529
ChopterLearningBrain,0.718,1895.662,22.241,10400,686.753
ChopterLearningBrain,0.683,1923.222,23.252,10400,689.860
ChopterLearningBrain,0.740,1951.609,23.813,10400,692.802
ChopterLearningBrain,0.741,1979.956,23.783,10400,695.774
ChopterLearningBrain,0.757,2008.313,23.866,10400,698.667
ChopterLearningBrain,0.732,2036.291,23.476,10400,701.507
ChopterLearningBrain,0.732,2062.809,22.354,10400,704.239
ChopterLearningBrain,0.668,2090.767,23.513,10400,706.915
ChopterLearningBrain,0.729,2116.861,21.956,10400,709.525
ChopterLearningBrain,0.669,2145.136,23.488,10400,712.082
ChopterLearningBrain,0.717,2173.072,23.586,10400,714.515
ChopterLearningBrain,0.742,2199.393,22.183,10400,716.947
ChopterLearningBrain,0.749,2226.387,22.725,10400,719.338
ChopterLearningBrain,0.758,2253.997,23.312,10400,721.589
ChopterLearningBrain,0.714,2281.659,23.381,10400,723.844
ChopterLearningBrain,0.737,2310.003,23.813,10400,726.064
ChopterLearningBrain,0.731,2337.728,23.384,10400,728.204
ChopterLearningBrain,0.705,2365.923,23.756,10400,730.321
ChopterLearningBrain,0.707,2393.812,23.471,10400,732.393
ChopterLearningBrain,0.727,2420.779,22.731,10400,734.392
ChopterLearningBrain,0.688,2449.144,23.758,10400,736.337
ChopterLearningBrain,0.723,2477.031,23.438,10400,738.268
ChopterLearningBrain,0.723,2505.444,23.741,10400,740.162
ChopterLearningBrain,0.738,2532.642,22.835,10400,742.038
ChopterLearningBrain,0.749,2560.646,23.564,10400,743.871
ChopterLearningBrain,0.721,2588.360,23.307,10400,745.653
ChopterLearningBrain,0.670,2615.380,22.919,10400,747.353
ChopterLearningBrain,0.716,2643.325,23.572,10400,749.123
ChopterLearningBrain,0.722,2671.602,23.759,10400,750.688
ChopterLearningBrain,0.729,2699.735,23.380,10400,752.310
ChopterLearningBrain,0.736,2727.629,23.415,10400,753.926
ChopterLearningBrain,0.735,2756.193,24.050,10400,755.469
ChopterLearningBrain,0.712,2782.842,22.465,10400,757.004
ChopterLearningBrain,0.760,2810.189,23.063,10400,758.521
ChopterLearningBrain,0.690,2835.936,21.722,10400,760.004
ChopterLearningBrain,0.747,2863.606,23.184,10400,761.477
ChopterLearningBrain,0.742,2891.464,23.412,10400,762.878
ChopterLearningBrain,0.739,2918.866,23.047,10400,764.331
ChopterLearningBrain,0.751,2946.917,23.521,10400,765.584
ChopterLearningBrain,0.771,2975.177,23.622,10400,766.930
ChopterLearningBrain,0.699,3003.308,23.593,10400,768.196
ChopterLearningBrain,0.729,3031.601,23.820,10400,769.501
ChopterLearningBrain,0.760,3057.808,21.969,10400,770.738
ChopterLearningBrain,0.702,3085.737,23.512,10400,771.958
ChopterLearningBrain,0.739,3113.914,23.826,10400,773.150
ChopterLearningBrain,0.745,3141.917,23.601,10400,774.376
ChopterLearningBrain,0.708,3169.222,22.993,10400,775.570
ChopterLearningBrain,0.698,3196.875,23.295,10400,776.751
