Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.874,988.901,5.865,12060,824.555
ChopterLearningBrain,0.836,996.036,5.759,11880,825.018
ChopterLearningBrain,0.827,1003.211,5.917,12060,825.779
ChopterLearningBrain,0.847,1010.423,5.826,12060,826.727
ChopterLearningBrain,0.838,1017.606,5.814,11880,827.214
ChopterLearningBrain,0.863,1024.817,5.916,12060,828.147
ChopterLearningBrain,0.840,1032.111,5.889,12060,828.917
ChopterLearningBrain,0.798,1039.210,5.786,11880,829.316
ChopterLearningBrain,0.869,1046.359,5.846,12060,830.165
ChopterLearningBrain,0.821,1053.597,5.870,12060,831.037
ChopterLearningBrain,0.851,1060.741,5.764,11880,831.482
ChopterLearningBrain,0.844,1067.964,5.938,12060,832.365
ChopterLearningBrain,0.829,1075.241,5.899,12060,833.227
ChopterLearningBrain,0.811,1082.296,5.694,11880,833.636
ChopterLearningBrain,0.820,1089.901,5.927,12060,834.152
ChopterLearningBrain,0.830,1097.163,5.876,12060,834.928
ChopterLearningBrain,0.829,1104.315,5.815,11880,835.265
ChopterLearningBrain,0.869,1111.530,5.900,12060,835.972
ChopterLearningBrain,0.836,1118.863,5.938,12060,836.712
ChopterLearningBrain,0.891,1126.069,5.775,11880,837.106
ChopterLearningBrain,0.814,1133.209,5.902,12060,837.883
ChopterLearningBrain,0.826,1140.485,5.897,12060,838.570
ChopterLearningBrain,0.821,1147.618,5.778,11880,838.957
ChopterLearningBrain,0.848,1154.729,5.845,12060,839.722
ChopterLearningBrain,0.814,1162.007,5.916,12060,840.464
ChopterLearningBrain,0.814,1169.170,5.818,11880,840.847
ChopterLearningBrain,0.872,1176.366,5.910,12060,841.609
ChopterLearningBrain,0.863,1183.559,5.783,12060,842.295
ChopterLearningBrain,0.792,1190.652,5.756,11880,842.645
ChopterLearningBrain,0.836,1197.824,5.910,12060,843.373
ChopterLearningBrain,0.804,1205.029,5.851,12060,844.066
ChopterLearningBrain,0.817,1212.164,5.783,11880,844.410
ChopterLearningBrain,0.859,1219.306,5.859,12060,845.112
ChopterLearningBrain,0.784,1226.510,5.864,12060,845.800
ChopterLearningBrain,0.865,1233.588,5.691,11880,846.158
ChopterLearningBrain,0.831,1240.749,5.890,12060,846.850
ChopterLearningBrain,0.875,1248.049,5.885,12060,847.524
ChopterLearningBrain,0.780,1255.158,5.788,11880,847.860
ChopterLearningBrain,0.872,1262.363,5.907,12060,848.519
ChopterLearningBrain,0.841,1269.610,5.833,12060,849.181
ChopterLearningBrain,0.848,1276.737,5.739,11880,849.509
ChopterLearningBrain,0.863,1283.950,5.901,12060,850.140
ChopterLearningBrain,0.861,1291.237,5.869,12060,850.734
ChopterLearningBrain,0.807,1298.348,5.769,11880,851.018
ChopterLearningBrain,0.795,1305.497,5.909,12060,851.629
ChopterLearningBrain,0.821,1312.740,5.869,12060,852.254
ChopterLearningBrain,0.863,1319.835,5.709,11880,852.569
ChopterLearningBrain,0.816,1326.980,5.911,12060,853.198
ChopterLearningBrain,0.871,1334.312,5.897,12060,853.815
ChopterLearningBrain,0.830,1341.448,5.755,11880,854.122
ChopterLearningBrain,0.797,1348.621,5.939,12060,854.720
ChopterLearningBrain,0.851,1355.917,5.887,12060,855.302
ChopterLearningBrain,0.827,1362.994,5.736,11880,855.599
ChopterLearningBrain,0.806,1370.178,5.907,12060,856.195
ChopterLearningBrain,0.869,1377.522,5.918,12060,856.764
ChopterLearningBrain,0.843,1384.640,5.748,11880,857.039
ChopterLearningBrain,0.843,1391.811,5.877,12060,857.286
ChopterLearningBrain,0.834,1399.075,5.872,12060,857.713
ChopterLearningBrain,0.802,1406.197,5.780,11880,857.814
ChopterLearningBrain,0.850,1413.324,5.861,12060,858.018
ChopterLearningBrain,0.780,1420.569,5.916,12060,858.341
ChopterLearningBrain,0.864,1427.735,5.754,11880,858.577
ChopterLearningBrain,0.863,1434.931,5.901,12060,859.110
ChopterLearningBrain,0.851,1442.200,5.877,12060,859.574
ChopterLearningBrain,0.818,1449.345,5.776,11880,859.836
ChopterLearningBrain,0.820,1456.503,5.904,12060,860.359
ChopterLearningBrain,0.836,1463.740,5.867,12060,860.887
ChopterLearningBrain,0.852,1470.908,5.773,11880,861.147
ChopterLearningBrain,0.842,1478.129,5.943,12060,861.661
ChopterLearningBrain,0.808,1485.280,5.799,12060,862.178
ChopterLearningBrain,0.874,1492.430,5.730,11880,862.434
ChopterLearningBrain,0.876,1499.606,5.857,12060,862.941
ChopterLearningBrain,0.824,1506.935,5.954,12060,863.428
ChopterLearningBrain,0.831,1514.138,5.814,11880,863.678
ChopterLearningBrain,0.786,1521.187,5.829,12060,864.173
ChopterLearningBrain,0.836,1528.471,5.880,12060,864.588
ChopterLearningBrain,0.779,1535.458,5.671,11880,864.820
ChopterLearningBrain,0.862,1542.625,5.865,12060,865.282
ChopterLearningBrain,0.899,1549.938,5.874,12060,865.742
ChopterLearningBrain,0.829,1557.057,5.761,11880,865.980
ChopterLearningBrain,0.799,1564.160,5.875,12060,866.450
ChopterLearningBrain,0.828,1571.407,5.880,12060,866.909
ChopterLearningBrain,0.781,1578.510,5.795,11880,867.144
ChopterLearningBrain,0.800,1585.617,5.870,12060,867.603
ChopterLearningBrain,0.873,1592.932,5.887,12060,868.054
ChopterLearningBrain,0.862,1600.007,5.690,11880,868.281
ChopterLearningBrain,0.847,1607.221,5.943,12060,868.731
ChopterLearningBrain,0.858,1614.503,5.890,12060,869.172
ChopterLearningBrain,0.857,1621.626,5.721,11880,869.384
ChopterLearningBrain,0.830,1628.854,5.940,12060,869.806
ChopterLearningBrain,0.832,1636.043,5.809,12060,870.242
ChopterLearningBrain,0.840,1643.242,5.836,11880,870.458
ChopterLearningBrain,0.770,1650.320,5.878,12060,870.891
ChopterLearningBrain,0.858,1657.600,5.864,12060,871.322
ChopterLearningBrain,0.835,1664.751,5.772,11880,871.534
ChopterLearningBrain,0.805,1671.906,5.925,12060,871.956
ChopterLearningBrain,0.830,1679.194,5.913,12060,872.376
ChopterLearningBrain,0.819,1686.350,5.791,11880,872.584
ChopterLearningBrain,0.854,1693.566,5.912,12060,872.990
ChopterLearningBrain,0.852,1700.852,5.875,12060,873.398
ChopterLearningBrain,0.759,1707.922,5.763,11880,873.601
ChopterLearningBrain,0.811,1715.077,5.901,12060,874.003
ChopterLearningBrain,0.789,1722.282,5.861,12060,874.407
ChopterLearningBrain,0.804,1729.311,5.683,11880,874.606
ChopterLearningBrain,0.831,1736.498,5.911,12060,875.006
ChopterLearningBrain,0.865,1743.818,5.895,12060,875.398
ChopterLearningBrain,0.794,1750.933,5.784,11880,875.591
ChopterLearningBrain,0.831,1758.087,5.899,12060,875.981
ChopterLearningBrain,0.733,1765.270,5.899,12060,876.368
ChopterLearningBrain,0.833,1772.372,5.735,11880,876.560
ChopterLearningBrain,0.873,1779.600,5.929,12060,876.939
ChopterLearningBrain,0.794,1786.842,5.894,12060,877.291
ChopterLearningBrain,0.819,1793.968,5.760,11880,877.471
ChopterLearningBrain,0.889,1801.200,5.913,12060,877.790
ChopterLearningBrain,0.813,1808.451,5.893,12060,878.149
ChopterLearningBrain,0.820,1815.568,5.757,11880,878.312
ChopterLearningBrain,0.833,1822.714,5.880,12060,878.593
ChopterLearningBrain,0.824,1829.965,5.866,12060,878.922
ChopterLearningBrain,0.829,1837.125,5.789,11880,879.098
ChopterLearningBrain,0.808,1844.244,5.889,12060,879.418
ChopterLearningBrain,0.844,1851.547,5.901,12060,879.680
ChopterLearningBrain,0.829,1858.616,5.705,11880,879.840
ChopterLearningBrain,0.832,1865.847,5.959,12060,880.021
ChopterLearningBrain,0.880,1873.105,5.833,12060,880.056
ChopterLearningBrain,0.868,1880.269,5.758,11880,880.136
ChopterLearningBrain,0.855,1887.460,5.899,12060,880.226
ChopterLearningBrain,0.800,1894.707,5.896,12060,880.202
ChopterLearningBrain,0.835,1901.832,5.750,11880,880.213
ChopterLearningBrain,0.867,1909.012,5.883,12060,880.356
ChopterLearningBrain,0.829,1916.257,5.843,12060,880.648
ChopterLearningBrain,0.781,1923.318,5.751,11880,880.736
ChopterLearningBrain,0.796,1930.378,5.828,12060,880.997
ChopterLearningBrain,0.863,1937.584,5.792,12060,881.324
ChopterLearningBrain,0.837,1944.729,5.748,11880,881.481
ChopterLearningBrain,0.847,1951.917,5.907,12060,881.770
ChopterLearningBrain,0.886,1959.142,5.804,12060,882.053
ChopterLearningBrain,0.815,1966.243,5.745,11880,882.210
ChopterLearningBrain,0.883,1973.485,5.908,12060,882.530
ChopterLearningBrain,0.898,1980.739,5.801,12060,882.841
ChopterLearningBrain,0.814,1987.854,5.757,11880,882.988
ChopterLearningBrain,0.782,1994.937,5.873,12060,883.290
ChopterLearningBrain,0.766,2002.061,5.808,12060,883.603
ChopterLearningBrain,0.858,2009.232,5.776,11880,883.759
ChopterLearningBrain,0.859,2016.440,5.882,12060,884.062
ChopterLearningBrain,0.786,2023.699,5.920,12060,884.359
ChopterLearningBrain,0.776,2030.800,5.792,11880,884.477
ChopterLearningBrain,0.844,2037.953,5.856,12060,884.722
ChopterLearningBrain,0.734,2045.091,5.850,12060,884.997
ChopterLearningBrain,0.807,2052.157,5.727,11880,885.145
ChopterLearningBrain,0.787,2059.249,5.861,12060,885.440
ChopterLearningBrain,0.838,2066.471,5.845,12060,885.733
ChopterLearningBrain,0.799,2073.535,5.719,11880,885.879
ChopterLearningBrain,0.845,2080.746,5.928,12060,886.168
ChopterLearningBrain,0.834,2088.001,5.855,12060,886.460
ChopterLearningBrain,0.888,2095.235,5.804,11880,886.608
ChopterLearningBrain,0.831,2102.373,5.878,12060,886.901
ChopterLearningBrain,0.835,2109.683,5.910,12060,887.188
ChopterLearningBrain,0.878,2116.857,5.778,11880,887.331
ChopterLearningBrain,0.822,2124.018,5.900,12060,887.618
ChopterLearningBrain,0.817,2131.225,5.841,12060,887.884
ChopterLearningBrain,0.808,2138.323,5.761,11880,888.017
ChopterLearningBrain,0.834,2145.535,5.952,12060,888.297
ChopterLearningBrain,0.771,2152.718,5.877,12060,888.576
ChopterLearningBrain,0.811,2159.820,5.765,11880,888.717
ChopterLearningBrain,0.836,2167.410,5.850,12060,888.996
ChopterLearningBrain,0.823,2174.633,5.863,12060,889.271
ChopterLearningBrain,0.830,2181.797,5.800,11880,889.408
ChopterLearningBrain,0.873,2189.039,5.927,12060,889.673
ChopterLearningBrain,0.864,2196.389,5.929,12060,889.944
ChopterLearningBrain,0.818,2203.503,5.767,11880,890.077
ChopterLearningBrain,0.837,2210.643,5.868,12060,890.336
ChopterLearningBrain,0.866,2217.972,5.912,12060,890.593
ChopterLearningBrain,0.804,2225.083,5.761,11880,890.723
ChopterLearningBrain,0.838,2232.276,5.916,12060,890.979
ChopterLearningBrain,0.809,2239.505,5.855,12060,891.224
ChopterLearningBrain,0.835,2246.655,5.792,11880,891.350
ChopterLearningBrain,0.826,2253.862,5.929,12060,891.606
ChopterLearningBrain,0.768,2261.048,5.864,12060,891.864
ChopterLearningBrain,0.799,2268.216,5.800,11880,891.992
ChopterLearningBrain,0.894,2275.582,6.015,12060,892.247
ChopterLearningBrain,0.803,2282.959,5.988,12060,892.500
ChopterLearningBrain,0.810,2290.082,5.739,11880,892.628
ChopterLearningBrain,0.860,2297.274,5.876,12060,892.875
ChopterLearningBrain,0.797,2304.335,5.691,12060,893.125
ChopterLearningBrain,0.769,2311.692,6.017,11880,893.249
ChopterLearningBrain,0.783,6756.967,6.178,12060,893.498
