Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.922,10.578,7.134,11880,-613.188
ChopterLearningBrain,0.840,18.051,6.035,12060,-559.317
ChopterLearningBrain,0.841,25.326,5.865,11880,-509.650
ChopterLearningBrain,0.833,32.644,6.017,12060,-423.313
ChopterLearningBrain,0.844,40.098,6.024,12060,-350.019
ChopterLearningBrain,0.796,47.444,5.952,11880,-314.720
ChopterLearningBrain,0.840,55.007,6.260,12060,-253.490
ChopterLearningBrain,0.844,62.316,5.912,12060,-181.693
ChopterLearningBrain,0.856,69.485,5.772,11880,-144.568
ChopterLearningBrain,0.806,76.623,5.882,12060,-70.219
ChopterLearningBrain,0.794,83.876,5.912,12060,0.606
ChopterLearningBrain,0.812,91.025,5.792,11880,34.618
ChopterLearningBrain,0.787,98.225,5.965,12060,98.350
ChopterLearningBrain,0.884,105.584,5.915,12060,154.307
ChopterLearningBrain,0.855,112.768,5.772,11880,179.562
ChopterLearningBrain,0.847,120.002,5.945,12060,225.913
ChopterLearningBrain,0.817,127.192,5.826,12060,266.539
ChopterLearningBrain,0.806,134.319,5.773,11880,285.098
ChopterLearningBrain,0.868,141.544,5.921,12060,319.409
ChopterLearningBrain,0.805,148.715,5.828,12060,350.157
ChopterLearningBrain,0.808,155.785,5.729,11880,364.588
ChopterLearningBrain,0.854,162.953,5.864,12060,391.449
ChopterLearningBrain,0.836,170.284,5.943,12060,415.207
ChopterLearningBrain,0.824,177.415,5.766,11880,425.762
ChopterLearningBrain,0.869,184.641,5.902,12060,444.817
ChopterLearningBrain,0.786,191.884,5.877,12060,461.484
ChopterLearningBrain,0.835,199.061,5.801,11880,467.222
ChopterLearningBrain,0.808,206.187,5.874,12060,482.215
ChopterLearningBrain,0.771,213.394,5.867,12060,497.290
ChopterLearningBrain,0.802,220.468,5.727,11880,504.650
ChopterLearningBrain,0.786,227.568,5.878,12060,519.169
ChopterLearningBrain,0.817,234.850,5.927,12060,532.557
ChopterLearningBrain,0.871,242.006,5.746,11880,538.552
ChopterLearningBrain,0.852,249.204,5.888,12060,549.776
ChopterLearningBrain,0.825,256.457,5.876,12060,561.160
ChopterLearningBrain,0.829,263.614,5.793,11880,566.691
ChopterLearningBrain,0.805,270.827,5.974,12060,576.981
ChopterLearningBrain,0.832,278.128,5.933,12060,586.677
ChopterLearningBrain,0.869,285.265,5.728,11880,591.451
ChopterLearningBrain,0.766,292.403,5.932,12060,600.355
ChopterLearningBrain,0.800,299.624,5.871,12060,608.891
ChopterLearningBrain,0.807,306.686,5.728,11880,612.993
ChopterLearningBrain,0.877,313.871,5.860,12060,620.885
ChopterLearningBrain,0.844,321.144,5.881,12060,628.509
ChopterLearningBrain,0.850,328.283,5.751,11880,632.148
ChopterLearningBrain,0.835,335.413,5.856,12060,639.128
ChopterLearningBrain,0.823,342.680,5.884,12060,645.732
ChopterLearningBrain,0.800,349.738,5.722,11880,648.978
ChopterLearningBrain,0.817,356.893,5.901,12060,655.201
ChopterLearningBrain,0.821,364.070,5.789,12060,660.451
ChopterLearningBrain,0.807,371.157,5.737,11880,663.236
ChopterLearningBrain,0.867,378.402,5.932,12060,668.829
ChopterLearningBrain,0.884,385.686,5.852,12060,674.041
ChopterLearningBrain,0.847,392.841,5.772,11880,676.669
ChopterLearningBrain,0.788,399.919,5.866,12060,681.717
ChopterLearningBrain,0.819,407.215,5.929,12060,686.540
ChopterLearningBrain,0.869,414.318,5.701,11880,688.929
ChopterLearningBrain,0.825,421.472,5.880,12060,693.512
ChopterLearningBrain,0.784,428.707,5.907,12060,697.916
ChopterLearningBrain,0.828,435.842,5.762,11880,700.026
ChopterLearningBrain,0.827,443.006,5.895,12060,704.154
ChopterLearningBrain,0.783,450.172,5.839,12060,708.088
ChopterLearningBrain,0.846,457.312,5.756,11880,709.890
ChopterLearningBrain,0.831,464.422,5.863,12060,712.981
ChopterLearningBrain,0.870,471.708,5.870,12060,715.952
ChopterLearningBrain,0.879,478.912,5.785,11880,717.266
ChopterLearningBrain,0.862,486.144,5.924,12060,720.145
ChopterLearningBrain,0.855,493.406,5.855,12060,723.484
ChopterLearningBrain,0.781,500.484,5.761,11880,725.182
ChopterLearningBrain,0.819,507.590,5.844,12060,728.469
ChopterLearningBrain,0.864,514.899,5.888,12060,731.641
ChopterLearningBrain,0.795,521.968,5.736,11880,733.178
ChopterLearningBrain,0.846,529.071,5.820,12060,736.244
ChopterLearningBrain,0.813,536.307,5.870,12060,739.152
ChopterLearningBrain,0.801,543.430,5.786,11880,740.447
ChopterLearningBrain,0.777,550.519,5.858,12060,743.303
ChopterLearningBrain,0.871,557.792,5.844,12060,746.101
ChopterLearningBrain,0.800,564.961,5.834,11880,747.422
ChopterLearningBrain,0.876,572.209,5.926,12060,750.068
ChopterLearningBrain,0.847,579.438,5.837,12060,752.675
ChopterLearningBrain,0.796,586.502,5.729,11880,753.883
ChopterLearningBrain,0.802,593.648,5.910,12060,756.134
ChopterLearningBrain,0.821,600.955,5.930,12060,758.557
ChopterLearningBrain,0.829,608.027,5.718,11880,759.582
ChopterLearningBrain,0.792,615.114,5.858,12060,761.895
ChopterLearningBrain,0.779,622.359,5.899,12060,764.138
ChopterLearningBrain,0.815,629.470,5.756,11880,765.232
ChopterLearningBrain,0.905,636.715,5.904,12060,767.380
ChopterLearningBrain,0.858,644.032,5.900,12060,769.526
ChopterLearningBrain,0.864,651.194,5.762,11880,770.578
ChopterLearningBrain,0.859,658.352,5.867,12060,772.654
ChopterLearningBrain,0.876,665.628,5.868,12060,774.638
ChopterLearningBrain,0.794,672.682,5.697,11880,775.634
ChopterLearningBrain,0.834,679.810,5.861,12060,777.551
ChopterLearningBrain,0.835,687.065,5.853,12060,779.431
ChopterLearningBrain,0.807,694.152,5.740,11880,780.374
ChopterLearningBrain,0.860,701.372,5.930,12060,782.165
ChopterLearningBrain,0.860,708.642,5.864,12060,783.899
ChopterLearningBrain,0.888,715.838,5.765,11880,784.794
ChopterLearningBrain,0.841,722.985,5.864,12060,786.543
ChopterLearningBrain,0.820,730.292,5.908,12060,788.239
ChopterLearningBrain,0.843,737.448,5.772,11880,789.086
ChopterLearningBrain,0.851,744.681,5.928,12060,790.697
ChopterLearningBrain,0.900,752.047,5.907,12060,792.335
ChopterLearningBrain,0.819,759.187,5.782,11880,793.138
ChopterLearningBrain,0.775,766.245,5.839,12060,794.719
ChopterLearningBrain,0.809,773.550,5.928,12060,796.301
ChopterLearningBrain,0.840,780.662,5.734,11880,797.085
ChopterLearningBrain,0.869,787.890,5.937,12060,798.583
ChopterLearningBrain,0.854,795.208,5.897,12060,800.093
ChopterLearningBrain,0.837,802.337,5.760,11880,800.834
ChopterLearningBrain,0.914,809.612,5.917,12060,802.281
ChopterLearningBrain,0.819,816.777,5.806,12060,803.708
ChopterLearningBrain,0.817,823.914,5.791,11880,804.406
ChopterLearningBrain,0.847,831.075,5.884,12060,805.760
ChopterLearningBrain,0.874,838.369,5.849,12060,807.089
ChopterLearningBrain,0.773,845.399,5.707,11880,807.695
ChopterLearningBrain,0.825,852.579,5.908,12060,808.927
ChopterLearningBrain,0.842,859.851,5.877,12060,810.065
ChopterLearningBrain,0.842,867.017,5.787,11880,810.407
ChopterLearningBrain,0.887,874.238,5.895,12060,811.075
ChopterLearningBrain,0.830,881.473,5.849,12060,812.071
ChopterLearningBrain,0.837,888.593,5.748,11880,812.465
ChopterLearningBrain,0.835,895.747,5.882,12060,813.345
ChopterLearningBrain,0.846,902.995,5.861,12060,814.323
ChopterLearningBrain,0.795,910.085,5.755,11880,814.912
ChopterLearningBrain,0.844,917.236,5.867,12060,816.019
ChopterLearningBrain,0.774,924.406,5.842,12060,817.100
ChopterLearningBrain,0.815,931.470,5.708,11880,817.546
ChopterLearningBrain,0.790,938.591,5.878,12060,818.553
ChopterLearningBrain,0.832,945.902,5.923,12060,819.545
ChopterLearningBrain,0.801,952.919,5.677,11880,820.061
ChopterLearningBrain,0.819,960.063,5.904,12060,821.124
ChopterLearningBrain,0.736,967.310,5.960,12060,822.143
ChopterLearningBrain,0.830,974.344,5.660,11880,822.601
ChopterLearningBrain,0.858,981.598,5.964,12060,823.531
