Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.788,8.349,5.407,11880,-696.660
ChopterLearningBrain,0.772,14.097,4.508,12060,-638.566
ChopterLearningBrain,0.730,19.810,4.519,11880,-598.737
ChopterLearningBrain,0.784,25.431,4.458,12060,-522.126
ChopterLearningBrain,0.735,31.212,4.574,12060,-439.231
ChopterLearningBrain,0.734,36.761,4.353,11880,-402.405
ChopterLearningBrain,0.729,42.244,4.399,12060,-336.485
ChopterLearningBrain,0.722,47.712,4.283,12060,-271.390
ChopterLearningBrain,0.746,53.041,4.162,11880,-237.461
ChopterLearningBrain,0.698,58.563,4.455,12060,-165.159
ChopterLearningBrain,0.786,64.346,4.511,12060,-92.115
ChopterLearningBrain,0.718,69.667,4.179,11880,-55.550
ChopterLearningBrain,0.792,75.186,4.354,12060,12.095
ChopterLearningBrain,0.702,80.807,4.472,12060,72.230
ChopterLearningBrain,0.767,86.542,4.481,11880,100.097
ChopterLearningBrain,0.725,92.123,4.480,12060,151.399
ChopterLearningBrain,0.777,97.649,4.281,12060,196.947
ChopterLearningBrain,0.761,103.039,4.210,11880,217.457
ChopterLearningBrain,0.768,108.523,4.352,12060,255.882
ChopterLearningBrain,0.734,114.178,4.456,12060,290.158
ChopterLearningBrain,0.736,119.604,4.234,11880,306.141
ChopterLearningBrain,0.738,125.087,4.397,12060,336.083
ChopterLearningBrain,0.749,130.555,4.253,12060,362.910
ChopterLearningBrain,0.729,136.038,4.307,11880,375.267
ChopterLearningBrain,0.798,141.467,4.252,12060,397.887
ChopterLearningBrain,0.757,147.112,4.397,12060,418.510
ChopterLearningBrain,0.719,152.469,4.192,11880,428.502
ChopterLearningBrain,0.753,158.041,4.458,12060,447.223
ChopterLearningBrain,0.726,163.510,4.274,12060,464.393
ChopterLearningBrain,0.747,168.892,4.204,11880,472.582
ChopterLearningBrain,0.769,174.355,4.349,12060,488.474
ChopterLearningBrain,0.731,179.879,4.333,12060,503.272
ChopterLearningBrain,0.766,185.423,4.311,11880,510.149
ChopterLearningBrain,0.738,190.849,4.314,12060,523.149
ChopterLearningBrain,0.772,196.358,4.271,12060,535.520
ChopterLearningBrain,0.727,201.722,4.188,11880,541.350
ChopterLearningBrain,0.759,207.131,4.301,12060,552.226
ChopterLearningBrain,0.721,212.600,4.298,12060,562.507
ChopterLearningBrain,0.701,218.132,4.375,11880,567.516
ChopterLearningBrain,0.739,223.665,4.452,12060,577.356
ChopterLearningBrain,0.787,229.138,4.232,12060,586.674
ChopterLearningBrain,0.740,234.465,4.141,11880,591.103
ChopterLearningBrain,0.721,239.871,4.307,12060,599.546
ChopterLearningBrain,0.723,245.380,4.317,12060,607.567
ChopterLearningBrain,0.709,250.873,4.326,11880,611.487
ChopterLearningBrain,0.745,256.380,4.397,12060,618.964
ChopterLearningBrain,0.759,261.979,4.366,12060,625.938
ChopterLearningBrain,0.779,267.400,4.193,11880,629.308
ChopterLearningBrain,0.775,273.109,4.552,12060,635.919
ChopterLearningBrain,0.782,278.693,4.327,12060,642.161
ChopterLearningBrain,0.731,284.251,4.346,11880,645.174
ChopterLearningBrain,0.778,289.752,4.359,12060,651.122
ChopterLearningBrain,0.751,295.271,4.292,12060,656.820
ChopterLearningBrain,0.712,300.702,4.235,11880,659.545
ChopterLearningBrain,0.785,306.110,4.254,12060,664.892
ChopterLearningBrain,0.732,311.675,4.380,12060,670.075
ChopterLearningBrain,0.755,317.130,4.262,11880,672.473
ChopterLearningBrain,0.750,322.576,4.357,12060,677.340
ChopterLearningBrain,0.769,328.161,4.354,12060,682.108
ChopterLearningBrain,0.753,333.508,4.133,11880,684.394
ChopterLearningBrain,0.760,338.909,4.292,12060,688.818
ChopterLearningBrain,0.738,344.439,4.327,12060,693.102
ChopterLearningBrain,0.745,349.980,4.345,11880,695.148
ChopterLearningBrain,0.739,355.455,4.363,12060,699.121
ChopterLearningBrain,0.755,360.981,4.307,12060,703.040
ChopterLearningBrain,0.774,366.507,4.304,11880,704.963
ChopterLearningBrain,0.756,371.825,4.216,12060,708.738
ChopterLearningBrain,0.773,377.457,4.405,12060,712.325
ChopterLearningBrain,0.763,383.025,4.338,11880,714.069
ChopterLearningBrain,0.723,388.427,4.309,12060,717.534
ChopterLearningBrain,0.776,394.171,4.495,12060,720.846
ChopterLearningBrain,0.742,399.695,4.338,11880,722.491
ChopterLearningBrain,0.742,405.420,4.626,12060,725.700
ChopterLearningBrain,0.721,410.875,4.296,12060,728.710
ChopterLearningBrain,0.747,416.323,4.252,11880,730.246
ChopterLearningBrain,0.741,421.748,4.325,12060,733.148
ChopterLearningBrain,0.786,427.243,4.254,12060,736.013
ChopterLearningBrain,0.735,432.649,4.222,11880,737.442
ChopterLearningBrain,0.788,438.088,4.290,12060,740.231
ChopterLearningBrain,0.771,443.666,4.363,12060,742.895
ChopterLearningBrain,0.730,449.057,4.214,11880,744.218
ChopterLearningBrain,0.756,454.560,4.385,12060,746.808
ChopterLearningBrain,0.774,460.073,4.268,12060,749.359
ChopterLearningBrain,0.741,465.529,4.279,11880,750.619
ChopterLearningBrain,0.765,470.918,4.272,12060,753.085
ChopterLearningBrain,0.788,476.390,4.222,12060,755.502
ChopterLearningBrain,0.790,481.952,4.313,11880,756.642
ChopterLearningBrain,0.751,487.509,4.441,12060,758.876
ChopterLearningBrain,0.769,493.066,4.349,12060,761.093
ChopterLearningBrain,0.737,498.427,4.194,11880,762.163
ChopterLearningBrain,0.727,503.830,4.311,12060,764.174
ChopterLearningBrain,0.723,509.218,4.205,12060,766.279
ChopterLearningBrain,0.793,514.703,4.246,11880,767.339
ChopterLearningBrain,0.730,520.053,4.287,12060,769.395
ChopterLearningBrain,0.746,525.508,4.260,12060,771.391
ChopterLearningBrain,0.728,530.979,4.284,11880,772.365
ChopterLearningBrain,0.800,536.505,4.337,12060,774.225
ChopterLearningBrain,0.750,542.018,4.300,12060,776.113
ChopterLearningBrain,0.755,547.420,4.202,11880,777.061
ChopterLearningBrain,0.755,552.950,4.422,12060,778.865
ChopterLearningBrain,0.714,558.428,4.299,12060,780.638
ChopterLearningBrain,0.742,563.721,4.120,11880,781.508
ChopterLearningBrain,0.758,569.106,4.270,12060,783.236
ChopterLearningBrain,0.786,574.629,4.267,12060,784.941
ChopterLearningBrain,0.734,580.050,4.233,11880,785.769
ChopterLearningBrain,0.758,585.508,4.348,12060,787.436
ChopterLearningBrain,0.744,591.027,4.310,12060,789.052
ChopterLearningBrain,0.759,596.516,4.276,11880,789.861
ChopterLearningBrain,0.735,601.909,4.297,12060,791.379
ChopterLearningBrain,0.754,607.543,4.392,12060,792.830
ChopterLearningBrain,0.747,613.102,4.340,11880,793.507
ChopterLearningBrain,0.734,618.427,4.236,12060,794.523
ChopterLearningBrain,0.804,623.984,4.302,12060,795.578
ChopterLearningBrain,0.763,629.494,4.296,11880,796.282
ChopterLearningBrain,0.745,635.088,4.487,12060,797.711
ChopterLearningBrain,0.728,640.485,4.202,12060,799.105
ChopterLearningBrain,0.748,645.791,4.139,11880,799.799
ChopterLearningBrain,0.725,651.169,4.305,12060,801.132
ChopterLearningBrain,0.785,656.852,4.422,12060,802.390
ChopterLearningBrain,0.775,662.482,4.406,11880,803.065
ChopterLearningBrain,0.758,668.017,4.400,12060,804.329
ChopterLearningBrain,0.740,673.537,4.318,12060,805.578
ChopterLearningBrain,0.723,679.075,4.359,11880,806.204
ChopterLearningBrain,0.792,684.514,4.303,12060,807.408
ChopterLearningBrain,0.765,690.070,4.324,12060,808.643
ChopterLearningBrain,0.754,695.624,4.328,11880,809.250
ChopterLearningBrain,0.777,701.169,4.392,12060,810.427
ChopterLearningBrain,0.720,706.635,4.286,12060,811.619
ChopterLearningBrain,0.713,712.061,4.249,11880,812.208
ChopterLearningBrain,0.739,717.600,4.438,12060,813.370
ChopterLearningBrain,0.757,723.088,4.273,12060,814.497
ChopterLearningBrain,0.747,728.499,4.212,11880,815.055
ChopterLearningBrain,0.744,733.902,4.295,12060,816.143
ChopterLearningBrain,0.752,739.552,4.416,12060,817.184
ChopterLearningBrain,0.727,745.032,4.296,11880,817.706
ChopterLearningBrain,0.752,750.568,4.428,12060,818.752
ChopterLearningBrain,0.730,756.125,4.372,12060,819.785
ChopterLearningBrain,0.728,761.444,4.137,11880,820.281
ChopterLearningBrain,0.729,766.845,4.309,12060,821.268
ChopterLearningBrain,0.729,772.427,4.377,12060,822.258
ChopterLearningBrain,0.743,777.921,4.296,11880,822.757
ChopterLearningBrain,0.703,783.439,4.433,12060,823.721
ChopterLearningBrain,0.746,788.987,4.337,12060,824.675
ChopterLearningBrain,0.737,794.429,4.250,11880,825.153
ChopterLearningBrain,0.758,799.839,4.303,12060,826.084
ChopterLearningBrain,0.763,805.382,4.309,12060,827.010
ChopterLearningBrain,0.779,811.027,4.394,11880,827.476
ChopterLearningBrain,0.773,816.586,4.419,12060,828.326
ChopterLearningBrain,0.773,822.079,4.271,12060,829.215
ChopterLearningBrain,0.746,827.503,4.231,11880,829.659
ChopterLearningBrain,0.772,833.618,4.554,12060,830.537
ChopterLearningBrain,0.772,839.354,4.489,12060,831.412
ChopterLearningBrain,0.766,844.793,4.238,11880,831.829
ChopterLearningBrain,0.754,850.284,4.379,12060,832.663
ChopterLearningBrain,0.725,855.856,4.383,12060,833.494
ChopterLearningBrain,0.762,861.474,4.383,11880,833.910
ChopterLearningBrain,0.765,867.184,4.558,12060,834.731
ChopterLearningBrain,0.717,872.824,4.457,12060,835.419
