Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
ChopterLearningBrain,0.851,21.722,15.015,10755,-596.284
ChopterLearningBrain,0.766,37.390,13.123,10800,-525.692
ChopterLearningBrain,0.727,53.131,13.301,10800,-439.811
ChopterLearningBrain,0.726,68.676,13.110,10800,-369.160
ChopterLearningBrain,0.702,84.143,13.014,10800,-315.443
ChopterLearningBrain,0.766,99.543,12.965,10800,-266.947
ChopterLearningBrain,0.786,115.048,13.019,10800,-215.357
ChopterLearningBrain,0.742,130.587,13.043,10800,-161.834
ChopterLearningBrain,0.735,146.046,12.969,10800,-105.797
ChopterLearningBrain,0.736,161.595,13.052,10800,-44.787
ChopterLearningBrain,0.725,177.125,13.143,10800,14.917
ChopterLearningBrain,0.761,192.539,12.941,10800,69.668
ChopterLearningBrain,0.737,208.150,13.151,10800,118.740
ChopterLearningBrain,0.703,223.642,13.046,10800,163.933
ChopterLearningBrain,0.794,239.187,12.989,10800,203.645
ChopterLearningBrain,0.696,254.513,12.984,10800,240.324
ChopterLearningBrain,0.702,269.645,12.728,10800,273.983
ChopterLearningBrain,0.717,285.130,13.033,10800,304.044
ChopterLearningBrain,0.768,300.468,12.851,10800,331.782
ChopterLearningBrain,0.687,315.688,12.835,10800,356.885
ChopterLearningBrain,0.812,330.999,12.853,10800,380.070
ChopterLearningBrain,0.720,346.550,13.119,10800,401.040
ChopterLearningBrain,0.794,362.155,13.053,10800,420.630
ChopterLearningBrain,0.751,377.694,13.017,10800,437.703
ChopterLearningBrain,0.781,393.138,12.930,10800,453.305
ChopterLearningBrain,0.681,408.527,13.083,10800,468.414
ChopterLearningBrain,0.723,423.839,12.885,10800,483.057
ChopterLearningBrain,0.731,439.259,12.916,10800,496.400
ChopterLearningBrain,0.724,454.836,13.102,10800,509.231
ChopterLearningBrain,0.744,470.154,12.871,10800,521.307
ChopterLearningBrain,0.785,485.501,12.930,10800,532.717
ChopterLearningBrain,0.775,500.914,12.870,10800,543.387
ChopterLearningBrain,0.795,516.590,13.143,10800,553.370
ChopterLearningBrain,0.748,531.664,12.592,10800,563.007
ChopterLearningBrain,0.720,547.077,12.988,10800,572.092
ChopterLearningBrain,0.785,562.465,12.979,10800,580.578
ChopterLearningBrain,0.790,578.033,13.004,10800,588.801
ChopterLearningBrain,0.750,593.478,12.972,10800,596.636
ChopterLearningBrain,0.753,609.003,13.037,10800,604.118
ChopterLearningBrain,0.737,624.511,13.024,10800,611.275
ChopterLearningBrain,0.791,639.651,12.723,10800,618.084
ChopterLearningBrain,0.723,655.486,12.939,10800,624.534
ChopterLearningBrain,0.731,670.777,12.842,10800,630.633
ChopterLearningBrain,0.745,686.280,13.012,10800,636.363
ChopterLearningBrain,0.765,701.626,12.863,10800,642.166
ChopterLearningBrain,0.704,716.558,12.662,10800,647.667
ChopterLearningBrain,0.740,731.787,12.770,10800,652.960
ChopterLearningBrain,0.717,747.067,12.882,10800,657.976
ChopterLearningBrain,0.766,762.392,12.830,10800,662.820
ChopterLearningBrain,0.770,777.773,12.852,10800,667.418
ChopterLearningBrain,0.759,792.909,12.816,10800,671.969
ChopterLearningBrain,0.743,808.056,12.677,10800,676.337
ChopterLearningBrain,0.733,823.189,12.711,10800,680.509
ChopterLearningBrain,0.765,838.715,13.050,10800,684.686
ChopterLearningBrain,0.804,854.393,13.128,10800,688.680
ChopterLearningBrain,0.676,869.493,12.814,10800,692.363
ChopterLearningBrain,0.800,885.067,13.044,10800,696.086
ChopterLearningBrain,0.751,900.219,12.740,10800,699.699
ChopterLearningBrain,0.711,915.437,12.796,10800,703.135
ChopterLearningBrain,0.833,930.963,13.009,10800,706.569
ChopterLearningBrain,0.763,946.364,12.966,10800,709.899
ChopterLearningBrain,0.683,961.807,13.016,10800,713.016
ChopterLearningBrain,0.705,977.268,12.994,10800,716.062
ChopterLearningBrain,0.755,992.655,12.893,10800,719.104
ChopterLearningBrain,0.674,1008.144,13.070,10800,722.088
ChopterLearningBrain,0.736,1023.606,13.108,10800,724.931
ChopterLearningBrain,0.732,1039.045,12.991,10800,727.590
ChopterLearningBrain,0.725,1054.412,12.946,10800,730.289
ChopterLearningBrain,0.755,1070.130,13.220,10800,732.897
ChopterLearningBrain,0.787,1085.520,12.875,10800,735.375
ChopterLearningBrain,0.727,1100.915,13.083,10800,737.603
ChopterLearningBrain,0.750,1116.318,12.939,10800,740.003
ChopterLearningBrain,0.700,1131.801,13.041,10800,742.406
ChopterLearningBrain,0.708,1147.156,12.944,10800,744.607
ChopterLearningBrain,0.747,1162.545,12.918,10800,746.920
ChopterLearningBrain,0.702,1177.827,12.948,10800,749.079
ChopterLearningBrain,0.731,1193.439,13.137,10800,751.307
ChopterLearningBrain,0.681,1208.904,13.045,10800,753.446
ChopterLearningBrain,0.783,1224.116,12.725,10800,755.522
ChopterLearningBrain,0.713,1239.454,12.911,10800,757.522
ChopterLearningBrain,0.765,1254.708,12.929,10800,759.471
ChopterLearningBrain,0.751,1269.989,12.857,10800,761.392
ChopterLearningBrain,0.684,1285.457,13.066,10800,763.242
ChopterLearningBrain,0.706,1301.329,12.994,10800,764.868
ChopterLearningBrain,0.771,1316.885,13.073,10800,766.708
ChopterLearningBrain,0.777,1332.237,12.951,10800,768.485
ChopterLearningBrain,0.709,1347.578,12.929,10800,770.212
ChopterLearningBrain,0.800,1363.098,12.974,10800,771.928
ChopterLearningBrain,0.742,1378.446,12.903,10800,773.545
ChopterLearningBrain,0.694,1393.989,13.044,10800,775.180
ChopterLearningBrain,0.727,1409.490,13.145,10800,776.766
ChopterLearningBrain,0.794,1424.777,12.781,10800,778.329
ChopterLearningBrain,0.752,1439.872,12.627,10800,779.859
ChopterLearningBrain,0.729,1455.342,13.000,10800,781.358
ChopterLearningBrain,0.722,1470.963,13.181,10800,782.825
ChopterLearningBrain,0.755,1486.341,12.974,10800,784.269
ChopterLearningBrain,0.774,1501.661,12.792,10800,785.704
ChopterLearningBrain,0.689,1517.020,12.890,10800,787.078
ChopterLearningBrain,0.729,1532.534,13.073,10800,788.452
ChopterLearningBrain,0.714,1548.091,13.145,10800,789.798
ChopterLearningBrain,0.720,1563.520,13.086,10800,791.130
ChopterLearningBrain,0.756,1578.840,12.790,10800,792.419
ChopterLearningBrain,0.785,1594.254,12.878,10800,793.587
ChopterLearningBrain,0.768,1609.628,12.879,10800,794.848
ChopterLearningBrain,0.722,1624.867,12.812,10800,796.085
ChopterLearningBrain,0.742,1640.222,12.988,10800,797.271
ChopterLearningBrain,0.762,1655.695,12.981,10800,798.414
ChopterLearningBrain,0.729,1671.178,13.048,10800,799.408
ChopterLearningBrain,0.758,1686.781,13.152,10800,800.516
ChopterLearningBrain,0.776,1702.313,13.058,10800,801.660
ChopterLearningBrain,0.777,1717.543,12.818,10800,802.787
ChopterLearningBrain,0.767,1732.768,12.724,10800,803.888
ChopterLearningBrain,0.714,1748.321,13.107,10800,804.972
ChopterLearningBrain,0.779,1763.650,12.833,10800,805.903
ChopterLearningBrain,0.713,1778.266,12.246,10800,806.974
ChopterLearningBrain,0.761,1793.520,12.882,10800,808.016
ChopterLearningBrain,0.755,1809.022,13.052,10800,809.039
ChopterLearningBrain,0.765,1824.038,12.563,10800,810.054
ChopterLearningBrain,0.722,1839.591,13.088,10800,811.018
ChopterLearningBrain,0.779,1854.872,12.799,10800,811.975
ChopterLearningBrain,0.732,1870.304,13.050,10800,812.913
ChopterLearningBrain,0.762,1885.962,13.150,10800,813.843
ChopterLearningBrain,0.758,1901.540,13.121,10800,814.663
ChopterLearningBrain,0.794,1917.021,12.933,10800,815.568
ChopterLearningBrain,0.724,1932.376,12.919,10800,816.495
ChopterLearningBrain,0.734,1948.157,12.924,10800,817.403
ChopterLearningBrain,0.746,1963.679,13.042,10800,818.272
ChopterLearningBrain,0.762,1979.197,13.035,10800,819.126
ChopterLearningBrain,0.796,1994.792,13.065,10800,819.897
ChopterLearningBrain,0.708,2010.184,12.939,10800,820.486
ChopterLearningBrain,0.691,2025.717,13.232,10800,821.230
ChopterLearningBrain,0.767,2041.376,13.148,10800,821.991
ChopterLearningBrain,0.732,2056.823,12.987,10800,822.763
ChopterLearningBrain,0.791,2072.367,13.069,10800,823.367
ChopterLearningBrain,0.719,2087.687,12.873,10800,824.155
ChopterLearningBrain,0.736,2103.093,13.006,10800,824.907
ChopterLearningBrain,0.727,2118.686,13.134,10800,825.581
ChopterLearningBrain,0.749,2134.182,13.047,10800,826.324
ChopterLearningBrain,0.706,2149.653,12.994,10800,827.049
ChopterLearningBrain,0.680,2165.235,13.162,10800,827.799
ChopterLearningBrain,0.790,2180.600,12.946,10800,828.544
ChopterLearningBrain,0.780,2196.276,13.090,10800,829.254
ChopterLearningBrain,0.760,2211.991,13.200,10800,829.961
ChopterLearningBrain,0.773,2227.521,13.030,10800,830.671
ChopterLearningBrain,0.737,2242.960,12.981,10800,831.370
ChopterLearningBrain,0.791,2258.080,12.726,10800,832.009
ChopterLearningBrain,0.791,2273.404,12.825,10800,832.670
ChopterLearningBrain,0.747,2288.762,12.880,10800,833.337
ChopterLearningBrain,0.774,2304.275,13.013,10800,833.981
ChopterLearningBrain,0.765,2319.547,12.810,10800,834.596
ChopterLearningBrain,0.753,2334.907,13.031,10800,835.248
ChopterLearningBrain,0.760,2350.442,13.041,10800,835.884
ChopterLearningBrain,0.773,2365.982,13.030,10800,836.485
ChopterLearningBrain,0.775,2381.681,13.145,10800,837.088
ChopterLearningBrain,0.726,2397.089,12.962,10800,837.647
ChopterLearningBrain,0.761,2412.248,12.797,10800,838.216
ChopterLearningBrain,0.697,2427.675,12.980,10800,838.816
ChopterLearningBrain,0.697,2442.899,12.845,10800,839.406
ChopterLearningBrain,0.799,2458.432,12.949,10800,840.016
ChopterLearningBrain,0.748,2473.837,12.926,10800,840.590
ChopterLearningBrain,0.737,2489.337,13.124,10800,841.180
ChopterLearningBrain,0.741,2504.631,12.841,10800,841.759
ChopterLearningBrain,0.762,2519.782,12.682,10800,842.325
ChopterLearningBrain,0.689,2535.187,12.987,10800,842.872
